File below(listA) below(listI) below(treeA) below(treeI) below(regexA) below(regexI) below(treeOA) below(treeOI) below(regexOA) below(regexOI) above(listA) above(listI) above(treeA) above(treeI) above(regexA) above(regexI) above(treeOA) above(treeOI) above(regexOA) above(regexOI)
set_5_sites_1_iterations_1000_result.csv 1000 1000 1000 999 1000 1000 1000 999 1000 1000 0 0 0 1 0 0 0 0 0 0
set_5_sites_2_iterations_10_result.csv 10 10 10 7 10 10 10 8 10 10 0 0 0 1 0 0 0 0 0 0
set_5_sites_2_iterations_100_result.csv 100 100 100 99 100 100 100 100 100 100 0 0 0 1 0 0 0 0 0 0
set_5_sites_2_iterations_1000_result.csv 1000 1000 1000 999 1000 1000 1000 1000 1000 1000 0 0 0 1 0 0 0 0 0 0
set_5_sites_3_iterations_10_result.csv 10 10 10 9 10 10 10 10 10 10 0 0 0 1 0 0 0 0 0 0
set_5_sites_3_iterations_100_result.csv 100 100 100 100 100 100 100 100 100 100 0 0 0 0 0 0 0 0 0 0
set_5_sites_3_iterations_1000_result.csv 0 0 999 1000 0 768 0 0 0 0 1000 1000 1 0 1000 231 1000 1 1000 1000
set_5_sites_5_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 1 10 10 10 0 10 10
set_5_sites_5_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 1 100 100 100 1 100 100
set_5_sites_5_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1 1000 1000 1000 6 1000 1000
set_5_sites_10_iterations_10_result.csv 0 0 0 10 0 0 0 1 0 0 10 10 10 0 10 10 10 0 10 10
set_5_sites_10_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 88 100 100 100 95 100 100
set_5_sites_10_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 866 1000 1000 1000 8 1000 1000
set_5_sites_20_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_5_sites_20_iterations_100_result.csv 0 0 0 100 0 0 0 0 0 0 100 100 100 0 100 100 100 100 100 100
set_5_sites_20_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
set_5_sites_30_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_5_sites_30_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 1 100 100 100 100 100 100
set_5_sites_30_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 2 1000 1000 1000 1000 1000 1000
set_5_sites_100_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_5_sites_100_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 100 100 100
set_5_sites_100_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
set_6_sites_1_iterations_10_result.csv 10 10 10 9 10 10 10 9 10 10 0 0 0 1 0 0 0 0 0 0
set_6_sites_1_iterations_100_result.csv 100 100 100 99 100 100 100 99 100 100 0 0 0 1 0 0 0 0 0 0
set_6_sites_1_iterations_1000_result.csv 1000 1000 1000 999 1000 1000 1000 1000 1000 1000 0 0 0 1 0 0 0 0 0 0
set_6_sites_2_iterations_10_result.csv 10 10 10 9 10 10 10 0 10 10 0 0 0 1 0 0 0 0 0 0
set_6_sites_2_iterations_100_result.csv 100 100 100 99 100 100 100 99 100 100 0 0 0 1 0 0 0 0 0 0
set_6_sites_2_iterations_1000_result.csv 1000 1000 1000 999 1000 1000 1000 999 1000 1000 0 0 0 1 0 0 0 0 0 0
set_6_sites_3_iterations_10_result.csv 10 10 10 6 10 10 10 7 10 10 0 0 0 1 0 0 0 0 0 0
set_6_sites_3_iterations_100_result.csv 100 100 100 69 100 100 100 0 100 100 0 0 0 1 0 0 0 29 0 0
set_6_sites_3_iterations_1000_result.csv 1000 1000 1000 694 1000 1000 999 702 1000 1000 0 0 0 1 0 0 1 2 0 0
set_6_sites_5_iterations_10_result.csv 10 10 10 10 10 10 10 10 10 10 0 0 0 0 0 0 0 0 0 0
set_6_sites_5_iterations_100_result.csv 100 100 100 0 100 100 100 100 100 100 0 0 0 100 0 0 0 0 0 0
set_6_sites_5_iterations_1000_result.csv 1000 1000 1000 995 1000 1000 1000 991 1000 1000 0 0 0 1 0 0 0 0 0 0
set_6_sites_10_iterations_10_result.csv 10 10 10 10 10 10 10 10 10 10 0 0 0 0 0 0 0 0 0 0
set_6_sites_10_iterations_100_result.csv 100 100 100 100 100 100 100 100 100 100 0 0 0 0 0 0 0 0 0 0
set_6_sites_10_iterations_1000_result.csv 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 0 0 0 0 0
set_6_sites_20_iterations_10_result.csv 10 10 10 10 10 10 10 10 10 10 0 0 0 0 0 0 0 0 0 0
set_6_sites_20_iterations_100_result.csv 0 0 0 99 0 0 0 0 0 0 100 100 100 0 100 100 100 0 100 100
set_6_sites_20_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 16 1000 1000 1000 1000 1000 1000
set_6_sites_30_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_6_sites_30_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 100 100 100
set_6_sites_30_iterations_1000_result.csv 0 0 0 1000 0 0 0 0 0 0 1000 1000 1000 0 1000 1000 1000 24 1000 1000
set_6_sites_100_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_6_sites_100_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 100 100 100
set_6_sites_100_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
set_7_sites_1_iterations_10_result.csv 10 10 10 9 10 10 10 0 10 10 0 0 0 1 0 0 0 0 0 0
set_7_sites_1_iterations_100_result.csv 100 100 100 99 100 100 100 100 100 100 0 0 0 1 0 0 0 0 0 0
set_7_sites_1_iterations_1000_result.csv 999 999 999 0 1000 999 1000 0 1000 999 1 1 1 143 0 1 0 142 0 1
set_7_sites_2_iterations_10_result.csv 10 10 9 0 10 9 10 1 10 10 0 0 1 1 0 1 0 1 0 0
set_7_sites_2_iterations_100_result.csv 100 100 100 99 100 100 100 15 100 100 0 0 0 1 0 0 0 1 0 0
